train,test,phylum,rank,AUROC,AUPR
w_mcm,wo_mcm,Mollusca,genus,0.6094633552943662,0.1466652651073685
w_mcm,w_mcm,Nematoda,genus,0.9219286751316588,0.7847375958263996
w_mcm,wo_mcm,Nematoda,genus,0.6582047081263909,0.3015118266652909
wo_mcm,w_mcm,Nematoda,genus,0.8822827140131168,0.7662450583462834
wo_mcm,wo_mcm,Nematoda,genus,0.8928843377926177,0.7754823380476948
w_mcm,w_mcm,Platyhelminthes,genus,0.9856129901408655,0.9678882421767655
w_mcm,wo_mcm,Platyhelminthes,genus,0.5992316833482789,0.44196534005946647
wo_mcm,w_mcm,Platyhelminthes,genus,0.9908335330473557,0.9753924723081816
wo_mcm,wo_mcm,Platyhelminthes,genus,0.9944249242612422,0.9776667103102434
wo_mcm,wo_mcm,Chordata,genus,0.9674661132153115,0.8980214613997716
wo_mcm,w_mcm,Mollusca,genus,0.93743476098745,0.8213522929179942
wo_mcm,wo_mcm,Mollusca,genus,0.935370784942364,0.8230400335477431
w_mcm,wo_mcm,Annelida,species,0.9088911233512685,0.8083494454802569
w_mcm,w_mcm,Annelida,species,0.9088911233512685,0.8083494454802569
wo_mcm,wo_mcm,Annelida,species,0.9267722516060011,0.8023779728947884
wo_mcm,w_mcm,Annelida,species,0.9267722516060011,0.8023779728947884
wo_mcm,w_mcm,Arthropoda,species,0.9373058601629496,0.9326844162971919
wo_mcm,wo_mcm,Arthropoda,species,0.9373058601629496,0.9326844162971919
w_mcm,wo_mcm,Arthropoda,species,0.9123086886508667,0.9106969008806367
w_mcm,w_mcm,Arthropoda,species,0.9123086886508667,0.9106969008806367
w_mcm,w_mcm,Chordata,species,0.8966391715833217,0.7653667139597008
w_mcm,wo_mcm,Chordata,species,0.8966391715833217,0.7653667139597008
w_mcm,w_mcm,Cnidaria,species,0.7432541558557819,0.5678630028758398
w_mcm,wo_mcm,Cnidaria,species,0.7432541558557819,0.5678630028758398
wo_mcm,w_mcm,Cnidaria,species,0.7619291462458816,0.561529126195365
wo_mcm,wo_mcm,Cnidaria,species,0.7619291462458816,0.561529126195365
w_mcm,w_mcm,Echinodermata,species,0.9370880873209763,0.8752630752381397
w_mcm,wo_mcm,Echinodermata,species,0.9370880873209763,0.8752630752381397
wo_mcm,w_mcm,Echinodermata,species,0.9578735802058251,0.8934738227224583
wo_mcm,wo_mcm,Echinodermata,species,0.9578735802058251,0.8934738227224583
wo_mcm,w_mcm,Chordata,species,0.9124080523036203,0.7958981100363389
w_mcm,w_mcm,Mollusca,species,0.8860618511368488,0.7487312912809512
w_mcm,wo_mcm,Mollusca,species,0.8860618511368488,0.7487312912809512
w_mcm,w_mcm,Nematoda,species,0.9661913230336916,0.9259186614041468
w_mcm,wo_mcm,Nematoda,species,0.9661913230336916,0.9259186614041468
wo_mcm,w_mcm,Nematoda,species,0.9789840549152493,0.9347914243731112
wo_mcm,wo_mcm,Nematoda,species,0.9789840549152493,0.9347914243731112
w_mcm,w_mcm,Platyhelminthes,species,0.89105561469759,0.8044909680403509
w_mcm,wo_mcm,Platyhelminthes,species,0.89105561469759,0.8044909680403509
wo_mcm,w_mcm,Platyhelminthes,species,0.9141057724391057,0.8391566698974106
wo_mcm,wo_mcm,Platyhelminthes,species,0.9141057724391057,0.8391566698974106
wo_mcm,wo_mcm,Chordata,species,0.9124080523036203,0.7958981100363389
wo_mcm,w_mcm,Mollusca,species,0.9120607504464011,0.7788136454411752
wo_mcm,wo_mcm,Mollusca,species,0.9120607504464011,0.7788136454411752
