model,phylum,rank,AUROC,AUPR
1D-CNN_GRU,Annelida,class,0.9379031590271965,0.906922659685074
GRU,Annelida,class,0.9467829399706857,0.9232072976546526
1D-CNN,Annelida,class,0.996351071427648,0.9640911688759364
no_network,Annelida,class,0.9940375589051083,0.9772765310325346
1D-CNN,Arthropoda,class,0.999506078140121,0.9824159119677063
no_network,Arthropoda,class,0.9996814930561481,0.9942364590957504
GRU,Arthropoda,class,0.9983433766537166,0.9823207550988249
1D-CNN_GRU,Arthropoda,class,0.99926601707942,0.9812632105795687
no_network,Chordata,class,0.9996661523480256,0.9965036133638974
1D-CNN,Chordata,class,0.999744060091295,0.9945461734961633
no_network,Cnidaria,class,0.9973071040857048,0.9962877943754792
1D-CNN,Cnidaria,class,0.9978519232588002,0.9960438407235401
GRU,Cnidaria,class,0.9950928684142986,0.9939558849763873
1D-CNN_GRU,Cnidaria,class,0.9552389412649207,0.9457963131411009
no_network,Echinodermata,class,0.9983824278837721,0.9963580914556299
1D-CNN,Echinodermata,class,0.998031141304427,0.9962352354335291
GRU,Echinodermata,class,0.9911129665127869,0.9869904468828894
1D-CNN_GRU,Echinodermata,class,0.9774914311950955,0.9672894859466903
GRU,Chordata,class,0.9987118783981499,0.9956023989311915
no_network,Mollusca,class,0.9980263257584938,0.9945421000239618
1D-CNN,Mollusca,class,0.9994507738583522,0.9984763116578798
no_network,Nematoda,class,0.983718547630154,0.9721639990757488
1D-CNN,Nematoda,class,0.9856848475432024,0.9652781884426039
GRU,Nematoda,class,0.9234483075718696,0.8640180058378493
1D-CNN_GRU,Nematoda,class,0.9171643208128663,0.8881870405021972
no_network,Platyhelminthes,class,0.9902579299120354,0.987895206413301
1D-CNN,Platyhelminthes,class,0.9529750748503627,0.9391136659734962
GRU,Platyhelminthes,class,0.9759356605243587,0.9575480446419984
GRU,Mollusca,class,0.998770348796084,0.994883030138189
1D-CNN_GRU,Platyhelminthes,class,0.9433697557058536,0.9347758871951967
1D-CNN_GRU,Chordata,class,0.9995658952561245,0.9938418200788205
1D-CNN_GRU,Mollusca,class,0.9940785063548229,0.9826627200697015
1D-CNN_GRU,Annelida,order,0.8185131604349625,0.7075224777973059
