model,phylum,rank,AUROC,AUPR
GRU,Annelida,order,0.8575491197057123,0.7383417441486869
1D-CNN,Annelida,order,0.9633547948932577,0.8856033279933654
no_network,Annelida,order,0.9494769895255118,0.8876529945651912
1D-CNN,Arthropoda,order,0.9985141714746346,0.9744823241963504
no_network,Arthropoda,order,0.9990445214094263,0.979680285388674
GRU,Arthropoda,order,0.9981062160075312,0.9656468835721456
1D-CNN_GRU,Arthropoda,order,0.9985808110528962,0.973343647912371
no_network,Chordata,order,0.9894445401997092,0.9319893331625628
1D-CNN,Chordata,order,0.9922461057495324,0.9575045174840295
no_network,Cnidaria,order,0.9894499778611846,0.9745604107267963
1D-CNN,Cnidaria,order,0.9818404902588757,0.9617407488149721
GRU,Cnidaria,order,0.9591496728659894,0.9482633639601701
1D-CNN_GRU,Cnidaria,order,0.8782119009095575,0.7426046000378387
no_network,Echinodermata,order,0.9840988758351812,0.9509233541016413
1D-CNN,Echinodermata,order,0.9878395217762947,0.9675902658983568
GRU,Echinodermata,order,0.9546323559905696,0.92965148262747
1D-CNN_GRU,Echinodermata,order,0.9270978874459013,0.8745574535302816
GRU,Chordata,order,0.9809151800240581,0.9106742759072756
no_network,Mollusca,order,0.9827261796570266,0.9162034942015507
1D-CNN,Mollusca,order,0.9884180701131022,0.9309275356414407
no_network,Nematoda,order,0.9787965079208989,0.955213662844703
1D-CNN,Nematoda,order,0.9728303859685915,0.9120992434751541
GRU,Nematoda,order,0.9686400700582345,0.899460565721852
1D-CNN_GRU,Nematoda,order,0.9327880369149044,0.8584514311006228
no_network,Platyhelminthes,order,0.9953564590324979,0.9866445647279294
1D-CNN,Platyhelminthes,order,0.9815916942027376,0.9768829874353268
GRU,Platyhelminthes,order,0.9742532499804554,0.9683409437828141
GRU,Mollusca,order,0.9786844400011148,0.9062403637642692
1D-CNN_GRU,Platyhelminthes,order,0.9532723890518267,0.9071985058897959
1D-CNN_GRU,Chordata,order,0.9858775436800084,0.9233956572571543
1D-CNN_GRU,Mollusca,order,0.9741756040199403,0.8921186668261744
1D-CNN_GRU,Annelida,family,0.8097702607634589,0.6838831619620597
GRU,Annelida,family,0.8362664123451524,0.7084260595513359
1D-CNN,Annelida,family,0.9697345436897463,0.8742279188771603
no_network,Annelida,family,0.9465035100594661,0.8432516048877551
1D-CNN,Arthropoda,family,0.9932064538269194,0.9320285268673479
no_network,Arthropoda,family,0.9914674839437468,0.9311193009853675
GRU,Arthropoda,family,0.9873551564266323,0.9095273428661848
1D-CNN_GRU,Arthropoda,family,0.9886119641827293,0.919090352311846
no_network,Chordata,family,0.9788583593230724,0.9056407554426622
1D-CNN,Chordata,family,0.9906185672377105,0.945846196498107
no_network,Cnidaria,family,0.9567798924491471,0.9055945706373466
1D-CNN,Cnidaria,family,0.9422045436634104,0.8868552997883833
GRU,Cnidaria,family,0.9340201296604212,0.8474407532244989
1D-CNN_GRU,Cnidaria,family,0.8215903660717201,0.440164358061345
no_network,Echinodermata,family,0.9665445940619806,0.9295629121604133
1D-CNN,Echinodermata,family,0.9812726840931607,0.9414690067528148
GRU,Echinodermata,family,0.9420311831167796,0.8919467819986455
1D-CNN_GRU,Echinodermata,family,0.9070051541592123,0.851899347178372
GRU,Chordata,family,0.9710995078120177,0.8859478309531768
no_network,Mollusca,family,0.9522610207363154,0.8371118805062758
1D-CNN,Mollusca,family,0.9694871856879607,0.8729346417942391
no_network,Nematoda,family,0.958042522276519,0.8538844391326572
1D-CNN,Nematoda,family,0.936700106728741,0.7842896542314421
GRU,Nematoda,family,0.9041105515381049,0.8070072343603392
1D-CNN_GRU,Nematoda,family,0.8406229337566962,0.724204286127279
no_network,Platyhelminthes,family,0.9981347699162287,0.9833519003890989
1D-CNN,Platyhelminthes,family,0.9910922098512915,0.9773853916581321
GRU,Platyhelminthes,family,0.9841664922301855,0.9692962247504222
GRU,Mollusca,family,0.9370588294646571,0.8295641855165646
1D-CNN_GRU,Platyhelminthes,family,0.9485664824470112,0.8913523155593055
1D-CNN_GRU,Chordata,family,0.970141693818123,0.8918341065781437
1D-CNN_GRU,Mollusca,family,0.9190409946624651,0.7953545509246123
1D-CNN_GRU,Annelida,genus,0.7793523553245023,0.6118615440046248
GRU,Annelida,genus,0.8184646949165115,0.6499493688195466
1D-CNN,Annelida,genus,0.9321183651090531,0.8088115188384235
no_network,Annelida,genus,0.9101725936615894,0.7856154639984454
1D-CNN,Arthropoda,genus,0.9737548167396013,0.8668405410565097
no_network,Arthropoda,genus,0.9726435702170133,0.8654198317717425
GRU,Arthropoda,genus,0.9545665911164761,0.8332126489225918
1D-CNN_GRU,Arthropoda,genus,0.963001018577841,0.8459495141758451
no_network,Chordata,genus,0.9516977985982265,0.848850082136374
1D-CNN,Chordata,genus,0.9708456718182352,0.8971675183743466
no_network,Cnidaria,genus,0.9581698257697951,0.8998190597556636
1D-CNN,Cnidaria,genus,0.9497623671472366,0.8860789449831363
GRU,Cnidaria,genus,0.9365983391924999,0.8603922680688583
1D-CNN_GRU,Cnidaria,genus,0.8294658568038583,0.3331353508014109
no_network,Echinodermata,genus,0.9557658289607083,0.9083240558284336
1D-CNN,Echinodermata,genus,0.9475741943077687,0.9138751952829967
GRU,Echinodermata,genus,0.9070155765460703,0.8400919161260163
1D-CNN_GRU,Echinodermata,genus,0.881506489031111,0.7834989469103081
GRU,Chordata,genus,0.9486991151736641,0.8361741881069296
no_network,Mollusca,genus,0.9169164644764438,0.7819259317146838
1D-CNN,Mollusca,genus,0.9384569031781016,0.8213522929179942
no_network,Nematoda,genus,0.9242184181006181,0.7934469788514648
1D-CNN,Nematoda,genus,0.8857394549575326,0.7662450583462834
GRU,Nematoda,genus,0.8554425641821974,0.7428847195077548
1D-CNN_GRU,Nematoda,genus,0.8138197367112654,0.6856095784905524
no_network,Platyhelminthes,genus,0.9974833878753727,0.9825886681440192
1D-CNN,Platyhelminthes,genus,0.9912112182992561,0.9753924723081816
GRU,Platyhelminthes,genus,0.9850083045786594,0.9709441922041492
GRU,Mollusca,genus,0.8982359975212157,0.7636539128799279
1D-CNN_GRU,Platyhelminthes,genus,0.946432455508136,0.8931817993156347
1D-CNN_GRU,Chordata,genus,0.9450988456227426,0.8447245297394167
1D-CNN_GRU,Mollusca,genus,0.8808388027322186,0.7380958705303382
1D-CNN_GRU,Annelida,species,0.9176162748584268,0.7656078431266675
GRU,Annelida,species,0.9215405739249907,0.789228583693049
1D-CNN,Annelida,species,0.9267722516060011,0.8023779728947884
no_network,Annelida,species,0.9337607785956408,0.8268164272936682
1D-CNN,Arthropoda,species,0.9373058601629496,0.9326844162971919
no_network,Arthropoda,species,0.9594951429631391,0.9370997088385051
GRU,Arthropoda,species,0.9350829730336068,0.8864916224449514
1D-CNN_GRU,Arthropoda,species,0.9234916805239057,0.9007862870533958
no_network,Chordata,species,0.9072729374581135,0.7813233485685264
1D-CNN,Chordata,species,0.9124080523036203,0.7958981100363389
no_network,Cnidaria,species,0.7904057578854327,0.6143564980214531
1D-CNN,Cnidaria,species,0.7619291462458816,0.561529126195365
GRU,Cnidaria,species,0.761421953664501,0.6161780752424026
1D-CNN_GRU,Cnidaria,species,0.23935712944161852,0.15443582676716322
no_network,Echinodermata,species,0.947681120632298,0.8873081786465359
1D-CNN,Echinodermata,species,0.9578735802058251,0.8934738227224583
GRU,Echinodermata,species,0.9493363891677333,0.8689257777310169
1D-CNN_GRU,Echinodermata,species,0.915711713156458,0.7997150404408
GRU,Chordata,species,0.8936213638682482,0.7621880773583213
no_network,Mollusca,species,0.9090993706845835,0.7734317092195024
1D-CNN,Mollusca,species,0.9120607504464011,0.7788136454411752
no_network,Nematoda,species,0.9684460682811373,0.9247250648783761
1D-CNN,Nematoda,species,0.9789840549152493,0.9347914243731112
GRU,Nematoda,species,0.9630689725613354,0.8809906024071944
1D-CNN_GRU,Nematoda,species,0.9377547690032445,0.8637115048314259
no_network,Platyhelminthes,species,0.9533868723220574,0.8452896812156072
1D-CNN,Platyhelminthes,species,0.9141057724391057,0.8391566698974106
GRU,Platyhelminthes,species,0.9019964538818539,0.7953802098555185
GRU,Mollusca,species,0.9138032128546615,0.7640216055743704
1D-CNN_GRU,Platyhelminthes,species,0.8468846005759308,0.7497243210823457
1D-CNN_GRU,Chordata,species,0.8957171574574871,0.75131565290916
1D-CNN_GRU,Mollusca,species,0.890339813158749,0.7154191230028526
