phylum,trial,rank,AUROC,AUPR
Annelida,0,species,0.9293587722704812,0.8347414256033827
Annelida,3,species,0.9278385711029926,0.8449836226910651
Annelida,2,species,0.930969590146506,0.8401437398573246
Annelida,4,species,0.9345641195563804,0.8383495268971116
Arthropoda,0,species,0.9605005264433011,0.9418099540603702
Arthropoda,4,species,0.9619251570242626,0.9433651533301106
Arthropoda,1,species,0.9609531071229854,0.9415365336993637
Arthropoda,2,species,0.9458757919569374,0.9308484670567341
Arthropoda,3,species,0.9611188232040655,0.9414826819726249
Chordata,0,species,0.9099854174902215,0.8043563820695692
Chordata,1,species,0.9125969094722824,0.8019557026925919
Chordata,2,species,0.9147378475805809,0.8038647852540606
Cnidaria,0,species,0.7939499745055302,0.6287853206445418
Cnidaria,1,species,0.7944200315474028,0.6173793918231231
Cnidaria,2,species,0.7997301691407384,0.6421417184503763
Cnidaria,4,species,0.7951414045587488,0.6297980088630495
Cnidaria,3,species,0.8057980696530832,0.6234728155459862
Echinodermata,0,species,0.9564807075482397,0.8850269333727914
Echinodermata,2,species,0.9592671881448402,0.8827655670682151
Echinodermata,1,species,0.9459972623891553,0.8828038055868458
Echinodermata,3,species,0.9466297919953308,0.8822278269471415
Echinodermata,4,species,0.9465123231414786,0.8821397097293948
Chordata,3,species,0.8998000680874747,0.7883554200885003
Mollusca,0,species,0.9164992006930553,0.7937890439113346
Mollusca,1,species,0.9233513274558585,0.7972908017773932
Mollusca,2,species,0.9160824804725622,0.78588911018459
Nematoda,0,species,0.9717565281418609,0.9247636551782802
Nematoda,1,species,0.9696447896713952,0.9326189236494278
Nematoda,2,species,0.9715009620019893,0.9358934958350162
Nematoda,3,species,0.968834599047707,0.9340674772027177
Nematoda,4,species,0.9686647305331779,0.9335733315107426
Platyhelminthes,0,species,0.9576332946703316,0.8434929815176728
Platyhelminthes,1,species,0.9363234795642202,0.843323407181432
Platyhelminthes,2,species,0.9555013786119528,0.8381414262587102
Platyhelminthes,3,species,0.9552226460680567,0.8430973477887058
Platyhelminthes,4,species,0.9537959098345572,0.8399695374386733
Mollusca,3,species,0.9231611854658079,0.793861034446155
Chordata,4,species,0.9155114217513824,0.8013469725315778
Mollusca,4,species,0.9169878387098606,0.7857367303692333
